date,signal_direction,signal,prediction,target_return,pnl,cumulative_pnl,period,abs_return,hit
2017-02-10 12:00:00,1,1.0,1.0,0.004262788365095257,0.004262788365095257,0.004262788365095257,training,0.004262788365095257,True
2017-02-13 12:00:00,1,1.0,1.0,0.0016853932584269947,0.0016853932584269947,0.0059481816235222515,training,0.0016853932584269947,True
2017-02-14 12:00:00,1,1.0,1.0,0.005618328235220675,0.005618328235220675,0.011566509858742927,training,0.005618328235220675,True
2017-02-15 12:00:00,-1,-1.0,-1.0,-0.00012468827930177398,0.00012468827930177398,0.0116911981380447,training,0.00012468827930177398,True
2017-02-16 12:00:00,1,1.0,1.0,0.0003739016638623475,0.0003739016638623475,0.012065099801907049,training,0.0003739016638623475,True
2017-02-17 12:00:00,1,1.0,1.0,0.0046758104738154616,0.0046758104738154616,0.016740910275722512,training,0.0046758104738154616,True
2017-02-20 12:00:00,1,1.0,1.0,0.0038473471920571177,0.0038473471920571177,0.02058825746777963,training,0.0038473471920571177,True
2017-02-21 12:00:00,1,1.0,1.0,-0.0008048040611650805,-0.0008048040611650805,0.01978345340661455,training,0.0008048040611650805,False
2017-02-22 12:00:00,-1,-1.0,-1.0,0.0050273088381331535,-0.0050273088381331535,0.014756144568481396,training,0.0050273088381331535,False
2017-02-23 12:00:00,1,1.0,1.0,0.0025666708401151303,0.0025666708401151303,0.017322815408596526,training,0.0025666708401151303,True
2017-02-24 12:00:00,1,1.0,1.0,0.006505692480920863,0.006505692480920863,0.02382850788951739,training,0.006505692480920863,True
2017-02-27 12:00:00,1,1.0,1.0,-0.006152889993785016,-0.006152889993785016,0.017675617895732375,training,0.006152889993785016,False
2017-02-28 12:00:00,-1,-1.0,-1.0,-0.012277968214397037,0.012277968214397037,0.02995358611012941,training,0.012277968214397037,True
2017-03-01 12:00:00,1,1.0,1.0,-0.006039317187403682,-0.006039317187403682,0.023914268922725728,training,0.006039317187403682,False
2017-03-02 12:00:00,1,1.0,1.0,-0.009232294442034878,-0.009232294442034878,0.01468197448069085,training,0.009232294442034878,False
2017-03-03 12:00:00,1,1.0,1.0,-0.007501406513721323,-0.007501406513721323,0.0071805679669695276,training,0.007501406513721323,False
2017-03-06 12:00:00,-1,-1.0,-1.0,0.00025193676387232533,-0.00025193676387232533,0.0069286312030972024,training,0.00025193676387232533,False
2017-03-07 12:00:00,1,1.0,1.0,-0.0037721614485099965,-0.0037721614485099965,0.003156469754587206,training,0.0037721614485099965,False
2017-03-08 12:00:00,1,1.0,1.0,-0.006511157468866668,-0.006511157468866668,-0.003354687714279462,training,0.006511157468866668,False
2017-03-09 12:00:00,-1,-1.0,-1.0,0.005197439310388569,-0.005197439310388569,-0.008552127024668031,training,0.005197439310388569,False
2017-03-10 12:00:00,-1,-1.0,-1.0,-0.005661937782301586,0.005661937782301586,-0.002890189242366445,training,0.005661937782301586,True
2017-03-13 12:00:00,-1,-1.0,-1.0,0.006578947368420966,-0.006578947368420966,-0.009469136610787411,training,0.006578947368420966,False
2017-03-14 12:00:00,-1,-1.0,-1.0,-0.007515923566878952,0.007515923566878952,-0.00195321304390846,training,0.007515923566878952,True
2017-03-15 12:00:00,1,1.0,1.0,0.007899393326592518,0.007899393326592518,0.005946180282684058,training,0.007899393326592518,True
2017-03-16 12:00:00,1,1.0,1.0,0.002321058904711151,0.002321058904711151,0.00826723918739521,training,0.002321058904711151,True
2017-03-17 12:00:00,1,1.0,1.0,0.0006273525721455458,0.0006273525721455458,0.008894591759540755,training,0.0006273525721455458,True
2017-03-20 12:00:00,-1,-1.0,-1.0,0.02150470219435734,-0.02150470219435734,-0.012610110434816585,training,0.02150470219435734,False
2017-03-21 12:00:00,1,1.0,1.0,-0.01491110686293243,-0.01491110686293243,-0.027521217297749014,training,0.01491110686293243,False
2017-03-22 12:00:00,1,1.0,1.0,0.012007746933505429,0.012007746933505429,-0.015513470364243585,training,0.012007746933505429,True
2017-03-23 12:00:00,0,0.0,0.0,-0.0,-0.0,-0.015513470364243585,training,0.0,False
2017-03-24 12:00:00,0,0.0,0.0,-0.0,-0.0,-0.015513470364243585,training,0.0,False
2017-03-27 12:00:00,1,1.0,1.0,0.011434444658572592,0.011434444658572592,-0.004079025705670992,training,0.011434444658572592,True
2017-03-28 12:00:00,1,1.0,1.0,0.007642825297751736,0.007642825297751736,0.003563799592080744,training,0.007642825297751736,True
2017-03-29 12:00:00,1,1.0,1.0,0.006456922200417829,0.006456922200417829,0.010020721792498574,training,0.006456922200417829,True
2017-03-30 12:00:00,-1,-1.0,-1.0,-0.007122147989411435,0.007122147989411435,0.017142869781910007,training,0.007122147989411435,True
2017-03-31 12:00:00,-1,-1.0,-1.0,0.012024801152376806,-0.012024801152376806,0.0051180686295332015,training,0.012024801152376806,False
2017-04-03 12:00:00,1,1.0,1.0,-0.00019017432646589827,-0.00019017432646589827,0.004927894303067303,training,0.00019017432646589827,False
2017-04-04 12:00:00,1,1.0,1.0,0.0004428697962799225,0.0004428697962799225,0.005370764099347226,training,0.0004428697962799225,True
2017-04-05 12:00:00,1,1.0,1.0,-0.0033580434644870775,-0.0033580434644870775,0.0020127206348601484,training,0.0033580434644870775,False
2017-04-06 12:00:00,0,0.0,0.0,0.0,0.0,0.0020127206348601484,training,0.0,False
2017-04-07 12:00:00,1,1.0,1.0,0.0012716983531506326,0.0012716983531506326,0.0032844189880107807,training,0.0012716983531506326,True
2017-04-10 12:00:00,1,1.0,1.0,0.004953324442750972,0.004953324442750972,0.008237743430761751,training,0.004953324442750972,True
2017-04-11 12:00:00,1,1.0,1.0,-0.0005703060642543969,-0.0005703060642543969,0.007667437366507355,training,0.0005703060642543969,False
2017-04-12 12:00:00,1,1.0,1.0,-0.009424350483953249,-0.009424350483953249,-0.0017569131174458939,training,0.009424350483953249,False
2017-04-13 12:00:00,1,1.0,1.0,-0.0028116812575884023,-0.0028116812575884023,-0.004568594375034296,training,0.0028116812575884023,False
2017-04-17 12:00:00,-1,-1.0,-1.0,-0.0017302146747837524,0.0017302146747837524,-0.0028383797002505436,training,0.0017302146747837524,True
2017-04-18 12:00:00,1,1.0,1.0,0.011969532100108843,0.011969532100108843,0.0091311523998583,training,0.011969532100108843,True
2017-04-19 12:00:00,1,1.0,1.0,0.005240560676853109,0.005240560676853109,0.01437171307671141,training,0.005240560676853109,True
2017-04-20 12:00:00,1,1.0,1.0,0.0009441681878265248,0.0009441681878265248,0.015315881264537935,training,0.0009441681878265248,True
2017-04-21 12:00:00,-1,-1.0,-1.0,-0.010570026425066034,0.010570026425066034,0.02588590768960397,training,0.010570026425066034,True
2017-04-24 12:00:00,1,1.0,1.0,0.011517868260490598,0.011517868260490598,0.03740377595009457,training,0.011517868260490598,True
2017-04-25 12:00:00,-1,-1.0,-1.0,-0.006216149679960694,0.006216149679960694,0.04361992563005527,training,0.006216149679960694,True
2017-04-26 12:00:00,1,1.0,1.0,-0.00232857405478288,-0.00232857405478288,0.04129135157527239,training,0.00232857405478288,False
2017-04-27 12:00:00,1,1.0,1.0,-0.00702013670792542,-0.00702013670792542,0.034271214867346966,training,0.00702013670792542,False
2017-04-28 12:00:00,-1,-1.0,-1.0,-0.00037197768133906325,0.00037197768133906325,0.03464319254868603,training,0.00037197768133906325,True
2017-05-01 12:00:00,-1,-1.0,-1.0,0.003408527516113039,-0.003408527516113039,0.03123466503257299,training,0.003408527516113039,False
2017-05-02 12:00:00,-1,-1.0,-1.0,0.006710992356925343,-0.006710992356925343,0.02452367267564765,training,0.006710992356925343,False
2017-05-03 12:00:00,-1,-1.0,-1.0,0.0028769779223216814,-0.0028769779223216814,0.02164669475332597,training,0.0028769779223216814,False
2017-05-04 12:00:00,-1,-1.0,-1.0,-0.00470425892241109,0.00470425892241109,0.02635095367573706,training,0.00470425892241109,True
2017-05-05 12:00:00,-1,-1.0,-1.0,0.0034949759720401354,-0.0034949759720401354,0.022855977703696923,training,0.0034949759720401354,False
2017-05-08 12:00:00,-1,-1.0,-1.0,-0.003569862842111884,0.003569862842111884,0.026425840545808807,training,0.003569862842111884,True
2017-05-09 12:00:00,1,1.0,1.0,0.0026812994949179736,0.0026812994949179736,0.02910714004072678,training,0.0026812994949179736,True
2017-05-10 12:00:00,1,1.0,1.0,0.00018724254150540164,0.00018724254150540164,0.02929438258223218,training,0.00018724254150540164,True
2017-05-11 12:00:00,-1,-1.0,-1.0,0.003438144652122273,-0.003438144652122273,0.025856237930109906,training,0.003438144652122273,False
2017-05-12 12:00:00,1,1.0,1.0,0.00809335591944279,0.00809335591944279,0.03394959384955269,training,0.00809335591944279,True
2017-05-15 12:00:00,-1,-1.0,-1.0,0.004729897933781373,-0.004729897933781373,0.02921969591577132,training,0.004729897933781373,False
2017-05-16 12:00:00,-1,-1.0,-1.0,0.018181818181818125,-0.018181818181818125,0.011037877733953195,training,0.018181818181818125,False
2017-05-17 12:00:00,1,1.0,1.0,-0.00450164849099679,-0.00450164849099679,0.006536229242956405,training,0.00450164849099679,False
2017-05-18 12:00:00,0,0.0,0.0,0.0,0.0,0.006536229242956405,training,0.0,False
2017-05-19 12:00:00,0,0.0,0.0,0.0,0.0,0.006536229242956405,training,0.0,False
2017-05-22 12:00:00,-1,-1.0,-1.0,-0.0040447449914681735,0.0040447449914681735,0.010580974234424579,training,0.0040447449914681735,True
2017-05-23 12:00:00,-1,-1.0,-1.0,0.0023872345772081634,-0.0023872345772081634,0.008193739657216415,training,0.0023872345772081634,False
2017-05-24 12:00:00,1,1.0,1.0,0.0008803370433252159,0.0008803370433252159,0.009074076700541632,training,0.0008803370433252159,True
2017-05-25 12:00:00,-1,-1.0,-1.0,0.00037693177534860476,-0.00037693177534860476,0.008697144925193027,training,0.00037693177534860476,False
2017-05-26 12:00:00,1,1.0,1.0,0.001070461557836437,0.001070461557836437,0.009767606483029464,training,0.001070461557836437,True
2017-05-29 12:00:00,-1,-1.0,-1.0,0.005472386463706155,-0.005472386463706155,0.004295220019323308,training,0.005472386463706155,False
2017-05-30 12:00:00,1,1.0,1.0,-0.004426737494466578,-0.004426737494466578,-0.0001315174751432696,training,0.004426737494466578,False
2017-05-31 12:00:00,1,1.0,1.0,0.015371911325668581,0.015371911325668581,0.015240393850525311,training,0.015371911325668581,True
2017-06-01 12:00:00,1,1.0,1.0,0.01617757712565836,0.01617757712565836,0.03141797097618367,training,0.01617757712565836,True
2017-06-02 12:00:00,1,1.0,1.0,-0.010635681790237278,-0.010635681790237278,0.020782289185946393,training,0.010635681790237278,False
2017-06-05 12:00:00,1,1.0,1.0,-0.0036661902690609976,-0.0036661902690609976,0.017116098916885394,training,0.0036661902690609976,False
2017-06-06 12:00:00,-1,-1.0,-1.0,-0.0024996875390576176,0.0024996875390576176,0.019615786455943012,training,0.0024996875390576176,True
2017-06-07 12:00:00,1,1.0,1.0,0.013620250015548145,0.013620250015548145,0.033236036471491155,training,0.013620250015548145,True
2017-06-08 12:00:00,1,1.0,1.0,0.00820582428430402,0.00820582428430402,0.041441860755795173,training,0.00820582428430402,True
2017-06-09 12:00:00,-1,-1.0,-1.0,0.00675428988682009,-0.00675428988682009,0.03468757086897509,training,0.00675428988682009,False
2017-06-12 12:00:00,0,0.0,0.0,0.0,0.0,0.03468757086897509,training,0.0,False
2017-06-13 12:00:00,1,1.0,1.0,-0.004766560743094709,-0.004766560743094709,0.02992101012588038,training,0.004766560743094709,False
2017-06-14 12:00:00,1,1.0,1.0,-0.0069320900558247685,-0.0069320900558247685,0.02298892007005561,training,0.0069320900558247685,False
2017-06-15 12:00:00,-1,-1.0,-1.0,0.002040690124296552,-0.002040690124296552,0.020948229945759057,training,0.002040690124296552,False
2017-06-16 12:00:00,1,1.0,1.0,0.007504341354502548,0.007504341354502548,0.028452571300261603,training,0.007504341354502548,True
2017-06-19 12:00:00,1,1.0,1.0,-0.0040012311480455524,-0.0040012311480455524,0.02445134015221605,training,0.0040012311480455524,False
2017-06-20 12:00:00,0,0.0,0.0,-0.0,-0.0,0.02445134015221605,training,0.0,False
2017-06-21 12:00:00,-1,-1.0,-1.0,0.0004946209966614207,-0.0004946209966614207,0.02395671915555463,training,0.0004946209966614207,False
2017-06-22 12:00:00,0,0.0,0.0,0.0,0.0,0.02395671915555463,training,0.0,False
2017-06-23 12:00:00,-1,-1.0,-1.0,-0.0014789253142716854,0.0014789253142716854,0.025435644469826314,training,0.0014789253142716854,True
2017-06-26 12:00:00,1,1.0,1.0,-0.0033226679793256775,-0.0033226679793256775,0.022112976490500636,training,0.0033226679793256775,False
2017-06-27 12:00:00,1,1.0,1.0,0.003126149319602739,0.003126149319602739,0.025239125810103374,training,0.003126149319602739,True
2017-06-28 12:00:00,-1,-1.0,-1.0,0.011426825542315945,-0.011426825542315945,0.013812300267787429,training,0.011426825542315945,False
2017-06-29 12:00:00,-1,-1.0,-1.0,-0.004502281978537038,0.004502281978537038,0.018314582246324467,training,0.004502281978537038,True
2017-06-30 12:00:00,-1,-1.0,-1.0,-0.006575712881022643,0.006575712881022643,0.024890295127347112,training,0.006575712881022643,True
2017-07-03 12:00:00,0,0.0,0.0,-0.0,-0.0,0.024890295127347112,training,0.0,False
2017-07-04 12:00:00,-1,-1.0,-1.0,0.00036941263391216376,-0.00036941263391216376,0.024520882493434946,training,0.00036941263391216376,False
2017-07-05 12:00:00,1,1.0,1.0,-0.003632781232682633,-0.003632781232682633,0.020888101260752315,training,0.003632781232682633,False
2017-07-06 12:00:00,1,1.0,1.0,-0.00030805249214466146,-0.00030805249214466146,0.020580048768607653,training,0.00030805249214466146,False
2017-07-10 12:00:00,1,1.0,1.0,-0.0011701669027530275,-0.0011701669027530275,0.019409881865854624,training,0.0011701669027530275,False
2017-07-11 12:00:00,1,1.0,1.0,0.0075234336457819725,0.0075234336457819725,0.026933315511636597,training,0.0075234336457819725,True
2017-07-12 12:00:00,1,1.0,1.0,-0.00012224191675314352,-0.00012224191675314352,0.026811073594883453,training,0.00012224191675314352,False
